input_size_mb,execution_time_sec,job_type,avg_ram_mb
0.01,12,InvertedIndex,1043
0.1,13,InvertedIndex,1654
1,14,InvertedIndex,1428
10,21,InvertedIndex,2106
100,38,InvertedIndex,2729
1000,133,InvertedIndex,3847
2000,249,InvertedIndex,4240
0.01,8.7,InvertedIndexSP,2123
0.1,6.8,InvertedIndexSP,2191
1,6.1,InvertedIndexSP,2126
10,7.4,InvertedIndexSP,2198
100,41,InvertedIndexSP,2411
1000,511,InvertedIndexSP,2663
2000,1062,InvertedIndexSP,2676
0.01,0.01,InvertedIndexNP,0.92
0.1,0.12,InvertedIndexNP,2.93
1,0.59,InvertedIndexNP,11.03
10,5.82,InvertedIndexNP,34.68
100,32.77,InvertedIndexNP,105.47
1000,309.71,InvertedIndexNP,378.62
2000,520.72,InvertedIndexNP,630.72